                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.92543,                 2.1114,                 1.2626,                  1.169,                0.42658,                  0.154,                0.14537,                0.10899,                0.38788,                0.13952,                0.12525,                0.08698,                 1.3869,                 3.5979,                 2.1627,                 1.5501,             0.00034475,             0.00034475,             0.00034475
                     38,                0.93075,                 2.1051,                 1.2521,                  1.162,                0.42135,                0.15807,                0.14894,                0.10853,                 0.3819,                0.14161,                0.12812,                0.08823,                 1.4269,                 3.6639,                  2.136,                 1.5684,             0.00034269,             0.00034269,             0.00034269
                     39,                 0.9204,                 2.0944,                 1.2394,                 1.1669,                0.45379,                0.16089,                0.15777,                  0.118,                0.43443,                0.14283,                0.13711,                0.09244,                 1.3903,                 3.7171,                 2.1779,                  1.544,             0.00034063,             0.00034063,             0.00034063
                     40,                0.91083,                  2.069,                 1.1878,                 1.1503,                0.42178,                0.15701,                   0.15,                0.11176,                 0.3888,                0.14338,                0.13219,                0.09371,                 1.4076,                 3.5942,                 2.1324,                 1.5616,             0.00033856,             0.00033856,             0.00033856
                     41,                0.89622,                 2.0421,                 1.1986,                 1.1498,                0.41987,                0.15995,                0.14824,                0.10843,                0.39283,                0.14122,                0.12877,                0.08741,                  1.404,                 3.7114,                 2.1799,                 1.5643,              0.0003365,              0.0003365,              0.0003365
                     42,                0.87919,                 2.0021,                 1.1462,                 1.1446,                0.43285,                0.15908,                0.15186,                0.11438,                0.39918,                0.14417,                0.13446,                0.09266,                 1.4225,                 3.7094,                 2.2123,                 1.5668,             0.00033443,             0.00033443,             0.00033443
                     43,                0.89457,                 2.0357,                 1.1708,                 1.1412,                  0.445,                0.15503,                 0.1509,                0.11216,                0.40922,                0.14365,                0.13344,                 0.0927,                 1.4192,                 3.5951,                 2.1427,                 1.5693,             0.00033237,             0.00033237,             0.00033237
                     44,                0.88061,                 1.9953,                 1.1275,                 1.1352,                0.37619,                0.16881,                0.15528,                0.11465,                0.42555,                0.14295,                 0.1336,                0.09296,                 1.4152,                 3.6449,                 2.1521,                 1.5751,             0.00033031,             0.00033031,             0.00033031
                     45,                0.87926,                 2.0036,                 1.1287,                 1.1303,                0.42386,                0.15153,                0.14785,                0.10933,                0.38332,                 0.1372,                0.12684,                0.08736,                 1.3937,                  3.732,                 2.1942,                 1.5576,             0.00032824,             0.00032824,             0.00032824
                     46,                 0.8803,                 1.9937,                 1.1034,                 1.1328,                0.41134,                0.16391,                0.15595,                0.11565,                0.45768,                0.14133,                0.13598,                0.09535,                 1.3926,                 3.7292,                 2.1047,                 1.5711,             0.00032618,             0.00032618,             0.00032618
                     47,                  0.857,                 1.9536,                 1.0752,                  1.104,                 0.5266,                0.15466,                0.15318,                0.11248,                0.48769,                0.14009,                 0.1334,                0.09151,                 1.3763,                 3.6258,                 2.1348,                 1.5414,             0.00032411,             0.00032411,             0.00032411
                     48,                0.85196,                 1.9173,                  1.066,                  1.116,                0.43565,                0.16121,                0.15112,                0.11136,                 0.4362,                0.14062,                0.13137,                0.09008,                 1.3958,                 3.6164,                 2.1292,                 1.5542,             0.00032205,             0.00032205,             0.00032205
                     49,                0.84422,                 1.9155,                 1.0359,                 1.1086,                0.42838,                0.16143,                0.15261,                0.11682,                0.40823,                 0.1479,                0.13705,                0.09667,                  1.405,                 3.7043,                 2.1368,                 1.5645,             0.00031998,             0.00031998,             0.00031998
                     50,                0.85043,                 1.9394,                 1.0646,                 1.1107,                0.40861,                0.16691,                0.15361,                0.11276,                0.39119,                0.14552,                0.13516,                0.09285,                 1.4166,                 3.7491,                 2.1651,                 1.5818,             0.00031792,             0.00031792,             0.00031792
                     51,                0.84597,                 1.9241,                 1.0379,                 1.1056,                0.42278,                0.16661,                0.15685,                0.11609,                0.38757,                0.15088,                0.13717,                0.09531,                 1.3988,                 3.7599,                 2.1418,                 1.5749,             0.00031586,             0.00031586,             0.00031586
                     52,                0.84281,                 1.9138,                 1.0472,                 1.1108,                0.44079,                 0.1559,                0.14939,                0.11118,                0.48869,                0.13461,                0.13104,                 0.0901,                 1.4106,                 3.7073,                 2.1684,                 1.5641,             0.00031379,             0.00031379,             0.00031379
                     53,                0.82802,                 1.8674,                  1.022,                 1.1006,                0.45064,                0.15799,                0.15241,                0.11469,                0.43211,                0.14105,                0.13456,                0.09467,                 1.3988,                 3.6968,                    2.2,                 1.5654,             0.00031173,             0.00031173,             0.00031173
                     54,                0.83455,                 1.8954,                  1.013,                 1.1026,                0.45803,                0.15375,                0.15276,                0.11546,                0.45792,                0.13287,                 0.1325,                0.09359,                 1.4162,                 3.7561,                 2.2519,                 1.5795,             0.00030966,             0.00030966,             0.00030966
                     55,                0.82842,                 1.8543,                0.99914,                 1.0937,                0.42614,                0.15711,                0.14571,                0.10746,                0.39615,                0.14344,                 0.1311,                0.08892,                 1.4455,                 3.6887,                 2.2651,                 1.6018,              0.0003076,              0.0003076,              0.0003076
                     56,                0.82969,                 1.8438,                0.96236,                 1.0912,                0.47105,                0.16205,                0.15351,                0.11261,                0.44677,                0.14477,                0.13411,                 0.0902,                 1.4218,                 3.6849,                 2.1998,                 1.5906,             0.00030554,             0.00030554,             0.00030554
                     57,                0.82167,                 1.8431,                 0.9656,                 1.0909,                0.47506,                0.15818,                0.15685,                0.11618,                0.47112,                0.14194,                0.13675,                0.09699,                 1.3939,                 3.7461,                 2.2115,                 1.5452,             0.00030347,             0.00030347,             0.00030347
                     58,                0.81923,                 1.8476,                0.97667,                  1.096,                0.47921,                0.16157,                0.15348,                0.11433,                0.47364,                0.13667,                0.13305,                0.09173,                 1.3932,                 3.6649,                 2.1747,                 1.5557,             0.00030141,             0.00030141,             0.00030141
                     59,                0.81562,                 1.8454,                0.95562,                 1.0807,                 0.3987,                0.16693,                0.15344,                0.11243,                0.39474,                0.14602,                0.13267,                0.09164,                  1.422,                 3.7311,                 2.2425,                 1.5873,             0.00029934,             0.00029934,             0.00029934
                     60,                0.80669,                 1.8077,                0.93813,                 1.0799,                0.46693,                0.15577,                0.14719,                0.10898,                0.45554,                0.13983,                0.12883,                0.08992,                 1.4469,                 3.8503,                 2.1794,                 1.6035,             0.00029728,             0.00029728,             0.00029728
                     61,                0.79114,                 1.7767,                0.92916,                 1.0798,                0.43372,                 0.1658,                0.15768,                0.11588,                0.46671,                0.13938,                 0.1345,                0.09387,                 1.3967,                 3.6063,                 2.1581,                 1.5666,             0.00029522,             0.00029522,             0.00029522
                     62,                0.78261,                   1.76,                0.88846,                 1.0609,                 0.4682,                0.15323,                0.14592,                0.10839,                0.42072,                0.14049,                0.12912,                0.08992,                 1.4019,                 3.7367,                 2.2358,                 1.5679,             0.00029315,             0.00029315,             0.00029315
                     63,                0.79637,                 1.7773,                0.89685,                 1.0758,                0.44279,                0.15935,                0.14986,                 0.1119,                0.39914,                0.14525,                 0.1324,                0.09356,                 1.4061,                 3.7225,                 2.1827,                 1.5633,             0.00029109,             0.00029109,             0.00029109
                     64,                0.79241,                 1.7955,                 0.8917,                 1.0674,                 0.4427,                0.15615,                 0.1508,                 0.1143,                0.42716,                0.14032,                0.13456,                0.09605,                 1.4463,                 3.8629,                 2.2537,                 1.6122,             0.00028902,             0.00028902,             0.00028902
                     65,                0.78916,                 1.7741,                0.88172,                 1.0608,                0.45481,                0.16658,                0.15873,                0.11683,                0.40964,                0.15286,                0.14005,                0.09694,                 1.4339,                 3.7453,                 2.1578,                 1.5892,             0.00028696,             0.00028696,             0.00028696
                     66,                0.77547,                 1.6996,                 0.8634,                  1.057,                0.42679,                 0.1627,                0.15639,                0.11591,                0.41085,                0.14803,                  0.138,                0.09506,                 1.4299,                 3.8265,                 2.1918,                 1.5899,             0.00028489,             0.00028489,             0.00028489
                     67,                0.77619,                 1.7242,                0.87606,                 1.0605,                0.50395,                0.15594,                0.15402,                0.11559,                0.45672,                0.13984,                0.13488,                0.09528,                 1.4178,                 3.8674,                 2.2269,                 1.5701,             0.00028283,             0.00028283,             0.00028283
                     68,                0.76796,                 1.7003,                0.84851,                  1.056,                0.44885,                 0.1593,                0.15035,                0.11148,                0.40643,                0.14611,                  0.135,                0.09312,                 1.4297,                 3.7782,                 2.2401,                 1.6005,             0.00028077,             0.00028077,             0.00028077
                     69,                0.76696,                 1.6959,                0.84426,                 1.0481,                  0.535,                0.15147,                0.15346,                0.11839,                0.46596,                0.14316,                0.13765,                0.09798,                  1.415,                 3.9412,                 2.2055,                 1.5832,              0.0002787,              0.0002787,              0.0002787
                     70,                0.76779,                  1.696,                0.84706,                  1.057,                0.46845,                0.16569,                0.15941,                0.11962,                0.45681,                0.14968,                0.14364,                0.10104,                 1.4216,                 3.7417,                 2.1349,                 1.5653,             0.00027664,             0.00027664,             0.00027664
