                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2752,                 2.7685,                 2.0659,                 1.0227,                0.73583,                 0.3717,                0.41858,                0.30927,                0.71978,                0.36074,                0.40183,                0.26442,                  1.403,                 3.0843,                 2.0964,                 1.0472,             0.00035054,             0.00035054,             0.00035054
                     35,                  1.255,                 2.7326,                 2.0316,                  1.021,                0.74079,                0.38076,                0.42467,                0.31802,                0.74924,                0.36785,                0.40742,                0.27317,                 1.3652,                  3.068,                 2.0372,                 1.0355,             0.00034846,             0.00034846,             0.00034846
                     36,                 1.2649,                 2.7445,                 2.0232,                  1.019,                0.74082,                0.37711,                0.42297,                0.31786,                0.74839,                0.36136,                0.40631,                0.27248,                 1.3626,                 3.0432,                 2.0186,                 1.0298,             0.00034638,             0.00034638,             0.00034638
                     37,                 1.2421,                  2.692,                 2.0053,                  1.017,                0.75186,                0.38005,                0.42605,                0.31988,                0.73651,                  0.367,                0.40405,                0.27285,                 1.3431,                 3.0221,                 1.9954,                 1.0342,             0.00034431,             0.00034431,             0.00034431
                     38,                 1.2586,                 2.7529,                 1.9845,                 1.0189,                0.76889,                0.38414,                0.43262,                0.32709,                0.76543,                0.36943,                0.41614,                0.28205,                 1.3467,                 3.0088,                 1.9598,                 1.0271,             0.00034223,             0.00034223,             0.00034223
                     39,                 1.2432,                 2.7161,                 1.9539,                 1.0095,                0.74361,                0.38941,                0.43161,                0.32757,                0.73689,                0.37757,                0.41583,                0.28084,                 1.3309,                 3.0211,                 1.9588,                 1.0222,             0.00034015,             0.00034015,             0.00034015
                     40,                 1.2123,                 2.6595,                 1.9089,                0.99999,                0.74084,                0.38826,                0.43462,                0.33491,                0.74543,                0.37771,                0.42096,                0.28832,                 1.3047,                  3.003,                 1.9348,                 1.0038,             0.00033808,             0.00033808,             0.00033808
                     41,                 1.2184,                 2.6811,                 1.9163,                 1.0028,                0.74537,                0.39598,                0.43681,                0.33465,                0.73928,                0.38508,                0.42178,                0.28759,                 1.3181,                 3.0029,                  1.932,                 1.0189,               0.000336,               0.000336,               0.000336
                     42,                 1.2047,                 2.6339,                 1.8793,                 1.0071,                0.77753,                0.38725,                0.43521,                0.33483,                0.78808,                0.37198,                0.41986,                0.28718,                 1.3112,                 3.0543,                 1.9172,                 1.0158,             0.00033392,             0.00033392,             0.00033392
                     43,                 1.2051,                 2.6379,                 1.8919,                0.99547,                0.77171,                0.37767,                0.42861,                0.32083,                0.76552,                0.36684,                0.41162,                0.27604,                 1.3418,                 3.0051,                 1.9568,                 1.0251,             0.00033185,             0.00033185,             0.00033185
                     44,                 1.2099,                  2.637,                 1.8551,                0.99654,                0.77395,                0.40293,                0.44822,                0.34133,                 0.7711,                0.38989,                0.43239,                0.29387,                 1.3162,                 2.9357,                 1.8733,                 1.0171,             0.00032977,             0.00032977,             0.00032977
                     45,                 1.1917,                 2.6182,                 1.8348,                0.99079,                0.78366,                0.39343,                0.44646,                0.33843,                0.78113,                0.38228,                0.42978,                0.29191,                 1.3031,                   2.97,                 1.8636,                 1.0047,             0.00032769,             0.00032769,             0.00032769
                     46,                 1.2069,                 2.6389,                 1.8294,                0.99395,                0.79818,                0.39089,                0.44326,                0.33755,                0.78862,                0.38535,                0.42972,                0.29218,                  1.305,                 2.9697,                 1.8637,                 1.0098,             0.00032562,             0.00032562,             0.00032562
                     47,                 1.1924,                  2.605,                 1.8205,                0.99018,                0.76635,                0.40098,                0.44256,                0.33425,                0.74796,                0.39161,                0.42565,                0.28888,                 1.3196,                 2.9363,                 1.8559,                  1.016,             0.00032354,             0.00032354,             0.00032354
                     48,                 1.1981,                 2.6272,                 1.8061,                0.99188,                0.78442,                0.40595,                 0.4519,                0.34338,                0.77173,                0.39608,                0.43503,                0.29478,                 1.3101,                  2.945,                  1.822,                 1.0052,             0.00032146,             0.00032146,             0.00032146
                     49,                 1.2042,                 2.5993,                 1.8055,                0.99368,                0.80824,                0.40113,                0.45224,                0.34707,                0.78353,                 0.3918,                0.43504,                0.29746,                 1.2936,                   2.94,                 1.8055,                 1.0013,             0.00031938,             0.00031938,             0.00031938
                     50,                 1.1787,                 2.6128,                 1.7712,                0.98291,                0.78631,                0.40582,                0.45167,                0.34944,                0.76177,                0.39458,                0.43399,                0.29909,                 1.2806,                 2.9474,                 1.8154,                0.99183,             0.00031731,             0.00031731,             0.00031731
                     51,                 1.1744,                 2.5875,                  1.757,                0.97964,                0.76841,                 0.4061,                0.44886,                0.34427,                0.73853,                0.39811,                0.43261,                0.29558,                 1.2871,                 2.9466,                 1.8363,                0.99757,             0.00031523,             0.00031523,             0.00031523
                     52,                 1.1955,                  2.619,                 1.7597,                 0.9806,                0.80392,                0.40323,                0.45766,                  0.353,                0.79136,                0.39384,                0.44151,                0.30072,                 1.2721,                 2.9335,                 1.7671,                0.99167,             0.00031315,             0.00031315,             0.00031315
                     53,                 1.1761,                 2.5876,                 1.7339,                 0.9777,                0.79019,                0.40723,                0.45682,                0.35008,                0.77739,                0.39784,                0.43798,                0.29923,                 1.2891,                 2.9188,                 1.7818,                0.99703,             0.00031108,             0.00031108,             0.00031108
                     54,                 1.1555,                 2.5416,                 1.7138,                0.97778,                0.79856,                 0.4142,                0.45914,                 0.3522,                0.77075,                0.40406,                0.44246,                0.30305,                 1.2854,                 2.9111,                 1.7782,                0.99685,               0.000309,               0.000309,               0.000309
                     55,                  1.173,                 2.5667,                  1.704,                0.97414,                0.78363,                0.41774,                0.46217,                0.35208,                0.81667,                0.39409,                0.44293,                0.30193,                 1.2803,                 2.9224,                 1.7509,                0.98778,             0.00030692,             0.00030692,             0.00030692
                     56,                 1.1683,                 2.5521,                 1.6862,                0.97029,                0.77959,                0.41236,                0.45814,                0.35572,                 0.7753,                0.39687,                0.44026,                0.30379,                 1.2499,                 2.9489,                 1.7691,                0.97896,             0.00030485,             0.00030485,             0.00030485
                     57,                 1.1744,                 2.5776,                 1.7093,                0.97526,                0.82644,                0.41668,                0.46793,                 0.3603,                0.82871,                0.39936,                0.44937,                0.30695,                 1.2635,                 2.9023,                 1.7088,                0.98582,             0.00030277,             0.00030277,             0.00030277
                     58,                 1.1593,                 2.5631,                 1.6912,                0.96993,                0.78131,                0.42355,                0.46274,                0.35697,                0.77125,                0.41152,                0.44715,                0.30923,                 1.2674,                 2.8865,                 1.7523,                 0.9799,             0.00030069,             0.00030069,             0.00030069
                     59,                 1.1704,                 2.5327,                 1.7008,                0.97745,                0.76566,                0.42363,                 0.4655,                0.35801,                0.81723,                 0.3962,                0.44646,                0.30625,                 1.2506,                  2.891,                 1.7341,                0.97918,             0.00029861,             0.00029861,             0.00029861
