                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3893,                 3.0725,                 2.2726,                 1.0262,                0.61609,                0.31272,                0.33754,                0.24527,                0.60249,                0.29683,                0.31619,                0.19436,                 1.5156,                 3.4197,                 2.2343,                 1.0426,              0.0095497,              0.0095497,              0.0095497
                     35,                 1.3885,                 3.0653,                 2.2285,                 1.0248,                0.62985,                0.30492,                0.33586,                0.24332,                0.60522,                0.29047,                0.31332,                0.19475,                 1.5064,                 3.4247,                 2.3161,                 1.0397,              0.0095294,              0.0095294,              0.0095294
                     36,                 1.3945,                 3.0808,                  2.249,                 1.0248,                0.66598,                0.30942,                0.34229,                0.25094,                0.65405,                0.29543,                 0.3211,                0.20011,                 1.4875,                 3.4256,                 2.2074,                 1.0251,              0.0095091,              0.0095091,              0.0095091
                     37,                 1.3751,                 3.0285,                 2.1986,                 1.0148,                0.69954,                0.30547,                0.35008,                0.25739,                0.66742,                0.29549,                0.32912,                0.20779,                 1.4514,                 3.3776,                 2.1657,                 1.0179,              0.0094888,              0.0094888,              0.0094888
                     38,                 1.3827,                 3.0518,                 2.1943,                 1.0209,                 0.6672,                0.32293,                0.35423,                0.25752,                0.64436,                0.30739,                 0.3323,                0.20815,                  1.472,                 3.3483,                 2.1904,                 1.0167,              0.0094684,              0.0094684,              0.0094684
                     39,                  1.373,                 3.0265,                 2.2247,                 1.0134,                0.65985,                0.31909,                0.35514,                0.26024,                0.65673,                0.29742,                   0.33,                0.21009,                 1.4663,                 3.3843,                  2.155,                 1.0253,              0.0094481,              0.0094481,              0.0094481
                     40,                 1.3834,                 3.0262,                 2.1943,                 1.0234,                0.63086,                0.32935,                  0.349,                0.25644,                0.61282,                0.31733,                0.33078,                0.20805,                 1.4775,                 3.3855,                 2.1629,                 1.0198,              0.0094278,              0.0094278,              0.0094278
                     41,                 1.3682,                 3.0337,                 2.2043,                 1.0166,                0.71738,                0.32231,                0.35882,                0.26488,                0.68437,                0.30891,                0.33415,                0.20849,                 1.4452,                 3.3688,                 2.1333,                 1.0063,              0.0094075,              0.0094075,              0.0094075
                     42,                 1.3775,                 3.0216,                  2.197,                 1.0252,                 0.6427,                0.32597,                0.35145,                0.25804,                0.63459,                0.30916,                0.33329,                0.21077,                 1.4517,                 3.3854,                 2.1887,                 1.0169,              0.0093872,              0.0093872,              0.0093872
                     43,                 1.3769,                 3.0432,                 2.1749,                 1.0134,                0.64178,                0.32641,                0.35321,                0.26289,                0.64325,                0.30872,                0.33624,                0.21726,                  1.434,                 3.3316,                 2.1357,                 1.0091,              0.0093668,              0.0093668,              0.0093668
                     44,                 1.3644,                 3.0063,                 2.1487,                 1.0148,                0.65402,                0.33638,                0.36553,                0.27115,                0.65488,                0.32013,                0.34398,                0.21787,                 1.4208,                 3.3042,                 2.0358,                0.99778,              0.0093465,              0.0093465,              0.0093465
                     45,                 1.3464,                  2.971,                 2.1126,                 1.0052,                 0.6989,                0.33075,                0.36805,                0.27287,                0.68866,                0.31447,                0.34584,                0.22367,                 1.4123,                 3.3257,                 2.0596,                0.99774,              0.0093262,              0.0093262,              0.0093262
